"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.43.36","192.168.43.255","UDP","50","1534  >  1534 Len=8"
"2","1.268184226","fe80::eff:61d3:72b4:8860","fe80::6461:7aff:fe95:89ec","ICMPv6","86","Neighbor Solicitation for fe80::6461:7aff:fe95:89ec from 34:e6:ad:2e:99:a6"
"3","1.269993877","fe80::6461:7aff:fe95:89ec","fe80::eff:61d3:72b4:8860","ICMPv6","78","Neighbor Advertisement fe80::6461:7aff:fe95:89ec (rtr, sol)"
"4","6.486687518","fe80::6461:7aff:fe95:89ec","fe80::eff:61d3:72b4:8860","ICMPv6","86","Neighbor Solicitation for fe80::eff:61d3:72b4:8860 from 78:02:f8:c4:5b:49"
"5","6.486720690","fe80::eff:61d3:72b4:8860","fe80::6461:7aff:fe95:89ec","ICMPv6","78","Neighbor Advertisement fe80::eff:61d3:72b4:8860 (sol)"
"6","11.214360602","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::200a","TLSv1.2","132","Application Data"
"7","11.214442172","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:807::200a","TLSv1.2","132","Application Data"
"8","11.572162091","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:807::200a","TCP","132","[TCP Retransmission] 63128  >  443 [PSH, ACK] Seq=1 Ack=1 Win=251 Len=46 TSval=3456934855 TSecr=2616534601"
"9","11.574896661","2404:6800:4009:809::200a","2405:204:941b:5072:7874:3111:ce:37bc","TLSv1.2","132","Application Data"
"10","11.574921626","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::200a","TCP","86","24726  >  443 [ACK] Seq=47 Ack=47 Win=234 Len=0 TSval=1406606050 TSecr=4137708137"
"11","11.574943980","2404:6800:4009:807::200a","2405:204:941b:5072:7874:3111:ce:37bc","TLSv1.2","132","Application Data"
"12","11.574951236","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:807::200a","TCP","86","63128  >  443 [ACK] Seq=47 Ack=47 Win=251 Len=0 TSval=3456934857 TSecr=2616593511"
"13","11.675460916","2404:6800:4009:807::200a","2405:204:941b:5072:7874:3111:ce:37bc","TCP","98","[TCP Dup ACK 11#1] 443  >  63128 [ACK] Seq=47 Ack=47 Win=120 Len=0 TSval=2616593686 TSecr=3456934857 SLE=1 SRE=47"
"14","15.000872412","192.168.43.36","192.168.43.255","UDP","50","1534  >  1534 Len=8"
"15","16.215107191","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::200e","TLSv1.2","132","Application Data"
"16","16.316163363","2404:6800:4009:809::200e","2405:204:941b:5072:7874:3111:ce:37bc","TLSv1.2","132","Application Data"
"17","16.316198615","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::200e","TCP","86","53692  >  443 [ACK] Seq=47 Ack=47 Win=571 Len=0 TSval=1358481555 TSecr=3588094520"
"18","18.215924646","192.168.43.36","216.58.196.66","TLSv1.2","112","Application Data"
"19","18.454555878","216.58.196.66","192.168.43.36","TLSv1.2","112","Application Data"
"20","18.454592581","192.168.43.36","216.58.196.66","TCP","66","54852  >  443 [ACK] Seq=47 Ack=47 Win=245 Len=0 TSval=535007778 TSecr=1194306812"
"21","19.822128111","2405:204:941b:5072:7874:3111:ce:37bc","2001:67c:1560:8003::c7","NTP","110","NTP Version 4, client"
"22","20.216770127","192.168.43.36","216.58.220.4","TLSv1.2","112","Application Data"
"23","20.291174858","2001:67c:1560:8003::c7","2405:204:941b:5072:7874:3111:ce:37bc","NTP","110","NTP Version 4, server"
"24","20.301276868","216.58.220.4","192.168.43.36","TLSv1.2","112","Application Data"
"25","20.301315549","192.168.43.36","216.58.220.4","TCP","66","46448  >  443 [ACK] Seq=47 Ack=47 Win=1444 Len=0 TSval=4043415716 TSecr=472145868"
"26","21.445322439","fe80::6461:7aff:fe95:89ec","2405:204:941b:5072:7874:3111:ce:37bc","ICMPv6","86","Neighbor Solicitation for 2405:204:941b:5072:7874:3111:ce:37bc from 78:02:f8:c4:5b:49"
"27","21.445374380","2405:204:941b:5072:7874:3111:ce:37bc","fe80::6461:7aff:fe95:89ec","ICMPv6","78","Neighbor Advertisement 2405:204:941b:5072:7874:3111:ce:37bc (sol)"
"28","22.217855434","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::2006","TLSv1.2","132","Application Data"
"29","22.516209946","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::2006","TCP","132","[TCP Retransmission] 11830  >  443 [PSH, ACK] Seq=1 Ack=1 Win=234 Len=46 TSval=753353526 TSecr=209156951"
"30","22.518305051","2404:6800:4009:809::2006","2405:204:941b:5072:7874:3111:ce:37bc","TLSv1.2","132","Application Data"
"31","22.518354345","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::2006","TCP","86","11830  >  443 [ACK] Seq=47 Ack=47 Win=234 Len=0 TSval=753353528 TSecr=209216132"
"32","22.594385027","2404:6800:4009:809::2006","2405:204:941b:5072:7874:3111:ce:37bc","TCP","98","[TCP Dup ACK 30#1] 443  >  11830 [ACK] Seq=47 Ack=47 Win=115 Len=0 TSval=209216231 TSecr=753353528 SLE=1 SRE=47"
"33","23.540165178","XiaomiCo_c4:5b:49","IntelCor_2e:99:a6","ARP","42","Who has 192.168.43.36? Tell 192.168.43.1"
"34","23.540193663","IntelCor_2e:99:a6","XiaomiCo_c4:5b:49","ARP","42","192.168.43.36 is at 34:e6:ad:2e:99:a6"
"35","24.218551472","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:806::2002","TLSv1.2","132","Application Data"
"36","24.218604199","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:806::2002","TLSv1.2","132","Application Data"
"37","24.218635125","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:806::2002","TLSv1.2","132","Application Data"
"38","24.374523452","2404:6800:4009:806::2002","2405:204:941b:5072:7874:3111:ce:37bc","TLSv1.2","132","Application Data"
"39","24.374564193","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:806::2002","TCP","86","15054  >  443 [ACK] Seq=47 Ack=47 Win=303 Len=0 TSval=2278069903 TSecr=315852790"
"40","24.374608176","2404:6800:4009:806::2002","2405:204:941b:5072:7874:3111:ce:37bc","TLSv1.2","132","Application Data"
"41","24.374622091","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:806::2002","TCP","86","15056  >  443 [ACK] Seq=47 Ack=47 Win=339 Len=0 TSval=2278069903 TSecr=483342160"
"42","24.374639898","2404:6800:4009:806::2002","2405:204:941b:5072:7874:3111:ce:37bc","TLSv1.2","132","Application Data"
"43","24.374654131","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:806::2002","TCP","86","15058  >  443 [ACK] Seq=47 Ack=47 Win=358 Len=0 TSval=2278069903 TSecr=693075357"
"44","26.219584488","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::2001","TLSv1.2","132","Application Data"
"45","26.219682978","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::200e","TLSv1.2","132","Application Data"
"46","26.219723133","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::2003","TLSv1.2","132","Application Data"
"47","26.516282806","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::200e","TCP","132","[TCP Retransmission] 53648  >  443 [PSH, ACK] Seq=1 Ack=1 Win=255 Len=46 TSval=1358491641 TSecr=2658805706"
"48","26.548217854","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::2001","TCP","132","[TCP Retransmission] 60604  >  443 [PSH, ACK] Seq=1 Ack=1 Win=337 Len=46 TSval=939520833 TSecr=4167361322"
"49","26.616154654","fe80::eff:61d3:72b4:8860","fe80::6461:7aff:fe95:89ec","ICMPv6","86","Neighbor Solicitation for fe80::6461:7aff:fe95:89ec from 34:e6:ad:2e:99:a6"
"50","26.617610866","fe80::6461:7aff:fe95:89ec","fe80::eff:61d3:72b4:8860","ICMPv6","78","Neighbor Advertisement fe80::6461:7aff:fe95:89ec (rtr, sol)"
"51","26.676171909","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::2003","TCP","132","[TCP Retransmission] 39224  >  443 [PSH, ACK] Seq=1 Ack=1 Win=259 Len=46 TSval=620508690 TSecr=3605339961"
"52","26.836235946","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::200e","TCP","132","[TCP Retransmission] 53648  >  443 [PSH, ACK] Seq=1 Ack=1 Win=255 Len=46 TSval=1358491957 TSecr=2658805706"
"53","26.868244036","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::2001","TCP","132","[TCP Retransmission] 60604  >  443 [PSH, ACK] Seq=1 Ack=1 Win=337 Len=46 TSval=939521148 TSecr=4167361322"
"54","27.156324733","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::2003","TCP","132","[TCP Retransmission] 39224  >  443 [PSH, ACK] Seq=1 Ack=1 Win=259 Len=46 TSval=620509164 TSecr=3605339961"
"55","27.444159297","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::200e","TCP","132","[TCP Retransmission] 53648  >  443 [PSH, ACK] Seq=1 Ack=1 Win=255 Len=46 TSval=1358492557 TSecr=2658805706"
"56","27.508237888","2405:204:941b:5072:7874:3111:ce:37bc","2404:6800:4009:809::2001","TCP","132","[TCP Retransmission] 60604  >  443 [PSH, ACK] Seq=1 Ack=1 Win=337 Len=46 TSval=939521781 TSecr=4167361322"
